"bNumber"	"gene"	"function"
"b3564"	"xylB"	"xylulokinase"
"b3565"	"xylA"	"D-xylose isomerase"
"b3566"	"xylF"	"D-xylose transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b3567"	"xylG"	"fused subunits of D-xylose transporter -!- ATP-binding components of ABC superfamily"
"b3568"	"xylH"	"D-xylose transporter subunit -!- membrane component of ABC superfamily"
"b3569"	"xylR"	"DNA-binding transcriptional activator, xylose-binding"
"b3570"	"bax"	"conserved protein"
"b3571"	"malS"	"alpha-amylase"
"b3572"	"avtA"	"valine-pyruvate aminotransferase"
"b3573"	"yiaI"	"predicted hydrogenase, 4Fe-4S ferredoxin-type component"
"b3574"	"yiaJ"	"predicted DNA-binding transcriptional repressor"
"b3575"	"yiaK"	"2,3-diketo-L-gulonate dehydrogenase, NADH-dependent"
"b3576"	"yiaL"	"conserved protein"
"b3577"	"yiaM"	"2,3-diketo-L-gulonate transporter, membrane subunit"
"b3578"	"yiaN"	"2,3-diketo-L-gulonate transporter, membrane subunit"
"b3579"	"yiaO"	"2,3-diketo-L-gulonate transporter, periplasmic binding protein"
"b3580"	"lyxK"	"L-xylulose kinase"
"b3581"	"sgbH"	"3-keto-L-gulonate 6-phosphate decarboxylase"
"b3582"	"sgbU"	"predicted L-xylulose 5-phosphate 3-epimerase"
"b3583"	"sgbE"	"L-ribulose-5-phosphate 4-epimerase"
"b3584"	"yiaT"	"predicted protein"
"b3585"	"yiaU"	"predicted DNA-binding transcriptional regulator"
"b3586"	"yiaV"	"membrane fusion protein (MFP) component of efflux pump, signal anchor"
"b3587"	"yiaW"	"conserved inner membrane protein"
"b3588"	"aldB"	"aldehyde dehydrogenase B, NADP-dependent, multi-substrate"
"b3589"	"yiaY"	"predicted Fe-containing alcohol dehydrogenase"
"b3590"	"selB"	"selenocysteinyl-tRNA-specific translation factor"
"b3591"	"selA"	"selenocysteine synthase"
"b3592"	"yibF"	"predicted glutathione S-transferase"
"b3593"	"rhsA"	"rhsA element core protein RshA"
"b3594"	"yibA"	"lyase containing HEAT-repeat"
"b3595"	"yibJ"	"predicted Rhs-family protein"
"b3596"	"yibG"	"conserved protein"
"b3597"	"yibH"	"predicted protein"
"b3598"	"yibI"	"predicted inner membrane protein"
"b3599"	"mtlA"	"fused mannitol-specific PTS enzyme IIABC components"
"b3600"	"mtlD"	"mannitol-1-phosphate dehydrogenase, NAD(P)-binding"
"b3601"	"mtlR"	"DNA-binding transcriptional repressor"
"b4554"	"yibT"	"predicted protein"
"b3602"	"yibL"	"conserved protein"
"b3603"	"lldP"	"L-lactate permease"
"b3604"	"lldR"	"DNA-binding transcriptional repressor"
"b3605"	"lldD"	"L-lactate dehydrogenase, FMN-linked"
"b3606"	"yibK"	"predicted rRNA methylase"
"b3607"	"cysE"	"serine acetyltransferase"
"b3608"	"gpsA"	"glycerol-3-phosphate dehydrogenase (NAD+)"
"b3609"	"secB"	"protein export chaperone"
"b3610"	"grxC"	"glutaredoxin 3"
"b3611"	"yibN"	"predicted rhodanese-related sulfurtransferase"
"b3612"	"gpmI"	"phosphoglycero mutase III, cofactor-independent"
"b3613"	"envC"	"protease with a role in cell division"
"b3614"	"yibQ"	"predicted polysaccharide deacetylase"
"b3615"	"yibD"	"predicted glycosyl transferase"
"b3616"	"tdh"	"threonine 3-dehydrogenase, NAD(P)-binding, Zn-binding"
"b3617"	"kbl"	"glycine C-acetyltransferase"
"b3618"	"htrL"	"predicted protein"
"b3619"	"rfaD"	"ADP-L-glycero-D-mannoheptose-6-epimerase, NAD(P)-binding domain"
"b3620"	"rfaF"	"ADP-heptose:LPS heptosyltransferase II"
"b3621"	"rfaC"	"ADP-heptose:LPS heptosyl transferase I"
"b3622"	"rfaL"	"O-antigen ligase"
"b3623"	"rfaK"	"lipopolysaccharide core biosynthesis"
"b3624"	"rfaZ"	"lipopolysaccharide core biosynthesis protein"
"b3625"	"rfaY"	"lipopolysaccharide core biosynthesis protein"
"b3626"	"rfaJ"	"UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase"
"b3627"	"rfaI"	"UDP-D-galactose:(glucosyl)lipopolysaccharide-alpha-1,3-D-galactosyltransferase"
"b3628"	"rfaB"	"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase"
"b3629"	"rfaS"	"lipopolysaccharide core biosynthesis protein"
"b3630"	"rfaP"	"kinase that phosphorylates core heptose of lipopolysaccharide"
"b3631"	"rfaG"	"glucosyltransferase I"
"b3632"	"rfaQ"	"lipopolysaccharide core biosynthesis protein"
"b3633"	"kdtA"	"3-deoxy-D-manno-octulosonic-acid transferase (KDO transferase)"
"b3634"	"coaD"	"pantetheine-phosphate adenylyltransferase"
"b3635"	"mutM"	"formamidopyrimidine/5-formyluracil/ 5-hydroxymethyluracil DNA glycosylase"
"b3636"	"rpmG"	"50S ribosomal subunit protein L33"
"b3637"	"rpmB"	"50S ribosomal subunit protein L28"
"b3638"	"yicR"	"protein associated with replication fork, possible DNA repair protein"
"b3639"	"dfp"	"fused 4'-phosphopantothenoylcysteine decarboxylase -!- phosphopantothenoylcysteine synthetase, FMN-binding"
"b3640"	"dut"	"deoxyuridinetriphosphatase"
"b3641"	"ttk"	"division inhibitor"
"b3642"	"pyrE"	"orotate phosphoribosyltransferase"
"b3643"	"rph"	"ribonuclease PH (pseudogene)"
"b3644"	"yicC"	"conserved protein"
"b3645"	"dinD"	"DNA-damage-inducible protein"
"b3646"	"yicG"	"conserved inner membrane protein"
"b3647"	"ligB"	"DNA ligase, NAD(+)-dependent"
"b3648"	"gmk"	"guanylate kinase"
"b3649"	"rpoZ"	"RNA polymerase, omega subunit"
"b3650"	"spoT"	"bifunctional (p)ppGpp synthetase II -!- guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase"
"b3651"	"trmH"	"tRNA (Guanosine-2'-O-)-methyltransferase"
"b3652"	"recG"	"ATP-dependent DNA helicase"
"b3653"	"gltS"	"glutamate transporter"
"b3654"	"yicE"	"xanthine transporter"
"b3655"	"yicH"	"conserved protein"
"b3656"	"yicI"	"alpha-xylosidase"
"b3657"	"yicJ"	"predicted transporter"
"b3658"	"selC"	"tRNA-Sec(UCA) (Selenocysteyl tRNA-UCA, converted from serine tRNA)"
"b3659"	"setC"	"predicted sugar efflux system"
"b3660"	"yicL"	"predicted inner membrane protein"
"b3661"	"nlpA"	"cytoplasmic membrane lipoprotein-28"
"b4555"	"yicS"	"predicted protein"
"b3662"	"nepI"	"purine ribonucleoside exporter"
"b3663"	"yicN"	"conserved protein"
"b3664"	"yicO"	"predicted xanthine/uracil permase"
"b3665"	"ade"	"cryptic adenine deaminase"
"b3666"	"uhpT"	"hexose phosphate transporter"
"b3667"	"uhpC"	"membrane protein regulates uhpT expression"
"b3668"	"uhpB"	"sensory histidine kinase in two-component regulatory sytem with UhpA"
"b3669"	"uhpA"	"DNA-binding response regulator in two-component regulatory system wtih UhpB"
"b3670"	"ilvN"	"acetolactate synthase I, small subunit"
"b3671"	"ilvB"	"acetolactate synthase I, large subunit"
"b3672"	"ivbL"	"ilvB operon leader peptide"
"b3673"	"emrD"	"multidrug efflux system protein"
"b3674"	"yidF"	"predicted DNA-binding transcriptional regulator"
"b3675"	"yidG"	"predicted inner membrane protein"
"b3676"	"yidH"	"conserved inner membrane protein"
"b3677"	"yidI"	"predicted inner membrane protein"
"b3678"	"yidJ"	"predicted sulfatase/phosphatase"
"b3679"	"yidK"	"predicted transporter"
"b3680"	"yidL"	"predicted DNA-binding transcriptional regulator"
"b4556"	"ysdC"	"predicted protein (pseudogene)"
"b3681"	"glvG"	"predicted 6-phospho-beta-glucosidase (pseudogene)"
"b3682"	"glvB"	"arbutin specific enzyme IIB component of PTS"
"b3683"	"glvC"	"arbutin specific enzyme IIC component of PTS"
"b3684"	"yidP"	"predicted DNA-binding transcriptional regulator"
"b3685"	"yidE"	"predicted transporter"
"b3686"	"ibpB"	"heat shock chaperone"
"b3687"	"ibpA"	"heat shock chaperone"
"b3688"	"yidQ"	"conserved outer membrane protein"
"b3689"	"yidR"	"conserved protein"
"b3690"	"cbrA"	"predicted oxidoreductase, FAD/NAD(P)-binding domain"
"b3691"	"dgoT"	"D-galactonate transporter"
"b4478"	"dgoD"	"galactonate dehydratase"
"b4477"	"dgoA"	"2-oxo-3-deoxygalactonate 6-phosphate aldolase"
"b3693"	"dgoK"	"2-oxo-3-deoxygalactonate kinase"
"b4479"	"dgoR"	"predicted DNA-binding transcriptional regulator"
"b3696"	"yidX"	"predicted lipoproteinC"
"b3697"	"yidA"	"predicted hydrolase"
"b3698"	"yidB"	"conserved protein"
"b3699"	"gyrB"	"DNA gyrase, subunit B"
"b3700"	"recF"	"gap repair protein"
"b3701"	"dnaN"	"DNA polymerase III, beta subunit"
"b3702"	"dnaA"	"chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator"
"b3703"	"rpmH"	"50S ribosomal subunit protein L34"
"b3704"	"rnpA"	"protein C5 component of RNase P"
"b4557"	"yidD"	"predicted protein"
"b3705"	"yidC"	"cytoplasmic insertase into membrane protein, functions independent and dependent of Sec system"
"b3706"	"trmE"	"GTPase"
"b3707"	"tnaC"	"tryptophanase leader peptide"
"b3708"	"tnaA"	"tryptophanase/L-cysteine desulfhydrase, PLP-dependent"
"b3709"	"tnaB"	"tryptophan transporter of low affinity"
"b3710"	"mdtL"	"multidrug efflux system protein"
"b3711"	"yidZ"	"predicted DNA-binding transcriptional regulator"
"b3712"	"yieE"	"predicted phosphopantetheinyl transferase"
"b3713"	"yieF"	"chromate reductase, Class I, flavoprotein"
"b3714"	"yieG"	"predicted inner membrane protein"
"b3715"	"yieH"	"predicted hydrolase"
"b3716"	"yieI"	"predicted inner membrane protein"
"b3717"	"cbrC"	"conserved protein"
"b3718"	"yieK"	"predicted 6-phosphogluconolactonase"
"b3719"	"yieL"	"predicted xylanase"
"b3720"	"bglH"	"carbohydrate-specific outer membrane porin, cryptic"
"b3721"	"bglB"	"cryptic phospho-beta-glucosidase B"
"b3722"	"bglF"	"fused beta-glucoside-specific PTS enzyme IIABC components"
"b3723"	"bglG"	"transcriptional antiterminator of the bgl operon"
"b3724"	"phoU"	"DNA-binding transcriptional regulator"
"b3725"	"pstB"	"phosphate transporter subunit -!- ATP-binding component of ABC superfamily"
"b3726"	"pstA"	"phosphate transporter subunit -!- membrane component of ABC superfamily"
"b3727"	"pstC"	"phosphate transporter subunit -!- membrane component of ABC superfamily"
"b3728"	"pstS"	"phosphate transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b3729"	"glmS"	"L-glutamine:D-fructose-6-phosphate aminotransferase"
"b3730"	"glmU"	"fused N-acetyl glucosamine-1-phosphate uridyltransferase -!- glucosamine-1-phosphate acetyl transferase"
"b3731"	"atpC"	"F1 sector of membrane-bound ATP synthase, epsilon subunit"
"b3732"	"atpD"	"F1 sector of membrane-bound ATP synthase, beta subunit"
"b3733"	"atpG"	"F1 sector of membrane-bound ATP synthase, gamma subunit"
"b3734"	"atpA"	"F1 sector of membrane-bound ATP synthase, alpha subunit"
"b3735"	"atpH"	"F1 sector of membrane-bound ATP synthase, delta subunit"
"b3736"	"atpF"	"F0 sector of membrane-bound ATP synthase, subunit b"
"b3737"	"atpE"	"F0 sector of membrane-bound ATP synthase, subunit c"
"b3738"	"atpB"	"F0 sector of membrane-bound ATP synthase, subunit a"
"b3739"	"atpI"	"ATP synthase, membrane-bound accesory subunit"
"b3740"	"gidB"	"metyltransferase, glucose-inhibited cell-division protein"
"b3741"	"gidA"	"glucose-inhibited cell-division protein"
"b4489"	"oriC"	"origin of replication"
"b3742"	"mioC"	"FMN-binding protein MioC"
"b3743"	"asnC"	"DNA-binding transcriptional dual regulator"
"b3744"	"asnA"	"asparagine synthetase A"
"b3745"	"viaA"	"predicted von Willibrand factor containing protein"
"b3746"	"ravA"	"fused AAA+ ATPase"
"b3747"	"trkD"	"potassium transporter"
"b3748"	"rbsD"	"predicted cytoplasmic sugar-binding protein"
"b3749"	"rbsA"	"fused D-ribose transporter subunits -!- ATP-binding components ABC superfamily"
"b3750"	"rbsC"	"D-ribose transporter subunit -!- membrane component of ABC superfamily"
"b3751"	"rbsB"	"D-ribose transporter subunit -!- periplasmic-binding compoent of ABC superfamily"
"b3752"	"rbsK"	"ribokinase"
"b3753"	"rbsR"	"DNA-binding transcriptional repressor"
"b3754"	"hsrA"	"predicted multidrug or homocysteine efflux system"
"b3755"	"yieP"	"predicted transcriptional regulator"
"b3756"	"rrsC"	"16S rRNA (rrnC)"
"b3757"	"gltU"	"tRNA-Glu(UUC) (Glutamate tRNA2)"
"b3758"	"rrlC"	"23S rRNA (rrlC)"
"b3759"	"rrfC"	"5S rRNA (rrfC)"
"b3760"	"aspT"	"tRNA-Asp(GUC) (Aspartate tRNA1)"
"b3761"	"trpT"	"tRNA-Trp(CCA) (Tryptophan tRNA)"
"b4480"	"hdfR"	"DNA-binding transcriptional regulator"
"b3764"	"yifE"	"conserved protein"
"b3765"	"yifB"	"predicted bifunctional protein, enzyme and transcriptional regulator"
"b3766"	"ilvL"	"ilv operon leader peptide"
"b3767"	"ilvG_1"	"acetolactate synthase II, large subunit, N-ter fragment (pseudogene)"
"b3768"	"ilvG_2"	"acetolactate synthase II, large subunit, C-ter fragment (pseudogene)"
"b4488"	"ilvG"	"large subunit of acetolactate synthase II (pseudogene)"
"b3769"	"ilvM"	"acetolactate synthase II, small subunit"
"b3770"	"ilvE"	"branched-chain amino-acid aminotransferase"
"b3771"	"ilvD"	"dihydroxyacid dehydratase"
"b3772"	"ilvA"	"threonine deaminase"
"b3773"	"ilvY"	"DNA-binding transcriptional dual regulator"
"b3774"	"ilvC"	"ketol-acid reductoisomerase, NAD(P)-binding"
"b3775"	"ppiC"	"peptidyl-prolyl cis-trans isomerase C (rotamase C)"
"b3776"	"yifO"	"conserved protein"
"b3777"	"yifN"	"conserved protein (pseudogene)"
"b3778"	"rep"	"DNA helicase and single-stranded DNA-dependent ATPase"
"b3779"	"gpp"	"guanosine pentaphosphatase/exopolyphosphatase"
"b3780"	"rhlB"	"ATP-dependent RNA helicase"
"b3781"	"trxA"	"thioredoxin 1"
"b3782"	"rhoL"	"rho operon leader peptide"
"b3783"	"rho"	"transcription termination factor"
"b3784"	"rfe"	"UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase"
"b3785"	"wzzE"	"Entobacterial Common Antigen (ECA) polysaccharide chain length modulation protein"
"b3786"	"rffE"	"UDP-N-acetyl glucosamine-2-epimerase"
"b3787"	"rffD"	"UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase"
"b3788"	"rffG"	"dTDP-glucose 4,6-dehydratase, NAD domain"
"b3789"	"rffH"	"glucose-1-phosphate thymidylyltransferase"
"b3790"	"rffC"	"TDP-fucosamine acetyltransferase"
"b3791"	"rffA"	"TDP-4-oxo-6-deoxy-D-glucose transaminase"
"b3792"	"wzxE"	"O-antigen translocase"
"b4481"	"rffT"	"TDP-Fuc4NAc:lipidII transferase"
"b3793"	"wzyE"	"predicted Wzy protein involved in ECA polysaccharide chain elongation"
"b3794"	"rffM"	"UDP-N-acetyl-D-mannosaminuronic acid transferase"
"b3795"	"yifK"	"predicted transporter"
"b3796"	"argX"	"tRNA-Arg(CCG) (Arginine tRNA3)"
"b3797"	"hisR"	"tRNA-His(GUG) (Histidine tRNA)"
"b3798"	"leuT"	"tRNA-Leu(CAG) (Leucine tRNA10"
"b3799"	"proM"	"tRNA-Pro(UGG) (Proline tRNA3)"
"b3800"	"aslB"	"predicted activator of arylsulfatase, FeS, SAM"
"b3801"	"aslA"	"acrylsulfatase-like enzyme"
"b4456"	"ryiA"	"regulatory sRNA"
"b3802"	"hemY"	"predicted protoheme IX synthesis protein"
"b3803"	"hemX"	"predicted uroporphyrinogen III methylase"
"b3804"	"hemD"	"uroporphyrinogen III synthase"
"b3805"	"hemC"	"hydroxymethylbilane synthase"
"b3806"	"cyaA"	"adenylate cyclase"
"b3807"	"cyaY"	"frataxin, iron-binding and oxidizing protein"
"b3808"	"yzcX"	"predicted protein"
"b4558"	"yifL"	"predicted lipoprotein"
"b3809"	"dapF"	"diaminopimelate epimerase"
"b3810"	"yigA"	"conserved protein"
"b3811"	"xerC"	"site-specific tyrosine recombinase"
"b3812"	"yigB"	"predicted hydrolase"
"b3813"	"uvrD"	"DNA-dependent ATPase I and helicase II"
"b4482"	"yigE"	"predicted protein"
"b3816"	"corA"	"magnesium/nickel/cobalt transporter"
"b3817"	"yigF"	"conserved inner membrane protein"
"b3818"	"yigG"	"predicted inner membrane protein"
"b3819"	"rarD"	"predicted chloramphenical resistance permease"
"b3820"	"yigI"	"conserved protein"
"b3821"	"pldA"	"outer membrane phospholipase A"
"b3822"	"recQ"	"ATP-dependent DNA helicase"
"b3823"	"rhtC"	"threonine efflux system"
"b3824"	"rhtB"	"neutral amino-acid efflux system"
"b3825"	"pldB"	"lysophospholipase L(2)"
"b3826"	"yigL"	"predicted hydrolase"
"b3827"	"yigM"	"predicted inner membrane protein"
"b3828"	"metR"	"DNA-binding transcriptional activator, homocysteine-binding"
"b3829"	"metE"	"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase"
"b3830"	"ysgA"	"predicted hydrolase"
"b3831"	"udp"	"uridine phosphorylase"
"b3832"	"rmuC"	"predicted recombination limiting protein"
"b3833"	"ubiE"	"bifunctional 2-octaprenyl-6-methoxy-1,4-benzoquinone methylase -!- S-adenosylmethionine:2-DMK methyltransferase"
"b3834"	"yigP"	"conserved protein"
"b3835"	"ubiB"	"ubiquinone biosynthesis protein"
"b3836"	"tatA"	"TatABCE protein translocation system subunit"
"b3838"	"tatB"	"TatABCE protein translocation system subunit"
"b3839"	"tatC"	"TatABCE protein translocation system subunit"
"b4483"	"tatD"	"DNase, magnesium-dependent"
"b3842"	"rfaH"	"DNA-binding transcriptional antiterminator"
"b3843"	"ubiD"	"3-octaprenyl-4-hydroxybenzoate decarboxylase"
"b3844"	"fre"	"flavin reductase"
"b3845"	"fadA"	"3-ketoacyl-CoA thiolase (thiolase I)"
"b3846"	"fadB"	"fused 3-hydroxybutyryl-CoA epimerase/delta(3)-cis-delta(2)-trans-enoyl-CoA isomerase/enoyl-CoA hydratase -!- 3-hydroxyacyl-CoA dehydrogenase"
"b3847"	"pepQ"	"proline dipeptidase"
"b3848"	"yigZ"	"predicted elongation factor"
"b3849"	"trkH"	"potassium transporter"
"b3850"	"hemG"	"protoporphyrin oxidase, flavoprotein"
"b3851"	"rrsA"	"16S rRNA (rrnA)"
"b3852"	"ileT"	"tRNA-Ile(GAU) (Isoleucine tRNA1)"
"b3853"	"alaT"	"tRNA-Ala(UGC) (Alanine tRNA 1B)"
"b3854"	"rrlA"	"23S rRNA (rrlA)"
"b3855"	"rrfA"	"5S rRNA (rrfA)"
"b3856"	"mobB"	"molybdopterin-guanine dinucleotide biosynthesis protein B"
"b3857"	"mobA"	"molybdopterin-guanine dinucleotide synthase"
"b3858"	"yihD"	"conserved protein"
"b3859"	"yihE"	"Ser/Thr protein kinase"
"b3860"	"dsbA"	"periplasmic protein disulfide isomerase I"
"b3861"	"yihF"	"conserved protein"
"b3862"	"yihG"	"predicted endonuclease"
"b3863"	"polA"	"fused DNA polymerase I 5'->3' exonuclease -!- 3'->5' polymerase -!- 3'->5' exonuclease"
"b3864"	"spf"	"Spot 42 RNA"
"b3865"	"yihA"	"GTP-binding protein"
"b4457"	"csrC"	"regulatory sRNA"
"b3866"	"yihI"	"conserved protein"
"b3867"	"hemN"	"coproporphyrinogen III oxidase, SAM and NAD(P)H dependent, oxygen-independent"
"b3868"	"glnG"	"fused DNA-binding response regulator in two-component regulatory system with GlnL, nitrogen regulator I (NRI)"
"b3869"	"glnL"	"sensory kinase in two-component regulatory system with GlnG"
"b3870"	"glnA"	"glutamine synthetase"
"b3871"	"bipA"	"GTP-binding protein"
"b3872"	"yihL"	"predicted DNA-binding transcriptional regulator"
"b3873"	"yihM"	"predicted sugar phosphate isomerase"
"b3874"	"yihN"	"predicted transporter"
"b3875"	"ompL"	"predicted outer membrane porin L"
"b3876"	"yihO"	"predited transporter"
"b3877"	"yihP"	"predicted transporter"
"b3878"	"yihQ"	"alpha-glucosidase"
"b3879"	"yihR"	"predicted aldose-1-epimerase"
"b3880"	"yihS"	"predicted glucosamine isomerase"
"b3881"	"yihT"	"predicted aldolase"
"b3882"	"yihU"	"predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain"
"b3883"	"yihV"	"predicted sugar kinase"
"b3884"	"yihW"	"predicted DNA-binding transcriptional regulator"
"b3885"	"yihX"	"predicted hydrolase"
"b3886"	"rbn"	"predicted inner membrane protein, previously thought to be tRNA processing exoribonuclease BN"
"b3887"	"dtd"	"D-Tyr-tRNA(Tyr) deacylase"
"b3888"	"yiiD"	"predicted acetyltransferase"
"b3889"	"yiiE"	"predicted transcriptional regulator"
"b3890"	"yiiF"	"conserved protein"
"b3891"	"fdhE"	"formate dehydrogenase formation protein"
"b3892"	"fdoI"	"formate dehydrogenase-O, cytochrome b556 subunit"
"b3893"	"fdoH"	"formate dehydrogenase-O, Fe-S subunit"
"b3894"	"fdoG"	"formate dehydrogenase-O, large subunit, NAD, binds Mo"
"b3895"	"fdhD"	"formate dehydrogenase formation protein"
"b3896"	"yiiG"	"conserved protein"
"b3897"	"frvR"	"predicted regulator"
"b3898"	"frvX"	"predicted endo-1,4-beta-glucanase"
"b3899"	"frvB"	"fused predicted PTS enzyme IIBC components"
"b3900"	"frvA"	"predicted enzyme IIA component of PTS"
"b3901"	"yiiL"	"L-rhamnose mutarotase"
"b3902"	"rhaD"	"rhamnulose-1-phosphate aldolase"
"b3903"	"rhaA"	"L-rhamnose isomerase"
"b3904"	"rhaB"	"rhamnulokinase"
"b3905"	"rhaS"	"DNA-binding transcriptional activator, L-rhamnose-binding"
"b3906"	"rhaR"	"DNA-binding transcriptional activator, L-rhamnose-binding"
"b3907"	"rhaT"	"L-rhamnose:proton symporter"
"b3908"	"sodA"	"superoxide dismutase, Mn"
"b3909"	"kdgT"	"2-keto-3-deoxy-D-gluconate transporter"
"b3910"	"yiiM"	"conserved protein"
"b3911"	"cpxA"	"sensory histidine kinase in two-component regulatory system with CpxR"
"b3912"	"cpxR"	"DNA-binding response regulator in two-component regulatory system with CpxA"
"b4484"	"cpxP"	"periplasmic protein combats stress"
"b3915"	"fieF"	"iron and zinc efflux system protein"
"b3916"	"pfkA"	"6-phosphofructokinase I"
"b3917"	"sbp"	"sulfate transporter subunit -!- periplasmic-binding component of ABC superfamily"
"b3918"	"cdh"	"CDP-diacylglycerol phosphotidylhydrolase"
"b3919"	"tpiA"	"triosephosphate isomerase"
"b3920"	"yiiQ"	"conserved protein"
"b3921"	"yiiR"	"conserved inner membrane protein"
"b3922"	"yiiS"	"conserved protein"
"b3923"	"yiiT"	"stress-induced protein"
"b3924"	"fpr"	"ferredoxin-NADP reductase"
"b3925"	"glpX"	"fructose 1,6-bisphosphatase II"
"b3926"	"glpK"	"glycerol kinase"
"b3927"	"glpF"	"glycerol facilitator"
"b3928"	"yiiU"	"conserved protein"
"b3929"	"rraA"	"ribonuclease E (RNase E) inhibitor protein"
"b3930"	"menA"	"1,4-dihydroxy-2-naphthoate octaprenyltransferase"
"b3931"	"hslU"	"molecular chaperone and ATPase component of HslUV protease"
"b3932"	"hslV"	"peptidase component of the HslUV protease"
"b3933"	"ftsN"	"essential cell division protein"
"b3934"	"cytR"	"DNA-binding transcriptional dual regulator"
"b3935"	"priA"	"Primosome factor n' (replication factor Y)"
"b3936"	"rpmE"	"50S ribosomal subunit protein L31"
"b3937"	"yiiX"	"predicted peptidoglycan peptidase"
"b3938"	"metJ"	"DNA-binding transcriptional repressor, S-adenosylmethionine-binding"
"b3939"	"metB"	"cystathionine gamma-synthase, PLP-dependent"
"b3940"	"metL"	"fused aspartokinase II -!- homoserine dehydrogenase II"
"b3941"	"metF"	"5,10-methylenetetrahydrofolate reductase"
"b3942"	"katG"	"catalase/hydroperoxidase HPI(I)"
"b3943"	"yijE"	"predicted permease"
"b3944"	"yijF"	"conserved protein"
"b3945"	"gldA"	"glycerol dehydrogenase, NAD, predicted divalent metal binding"
"b3946"	"fsaB"	"fructose-6-phosphate aldolase 2"
"b3947"	"ptsA"	"fused predicted PTS enzymes Hpr component -!- enzyme I component -!- enzyme IIA component"
"b3949"	"frwC"	"predicted enzyme IIC component of PTS"
"b3950"	"frwB"	"predicted enzyme IIB component of PTS"
"b3951"	"pflD"	"predicted formate acetyltransferase 2 (pyruvate formate lyase II)"
"b3952"	"pflC"	"pyruvate formate lyase II activase"
"b3953"	"frwD"	"predicted enzyme IIB component of PTS"
"b3954"	"yijO"	"predicted DNA-binding transcriptional regulator"
"b3955"	"yijP"	"conserved inner membrane protein"
"b3956"	"ppc"	"phosphoenolpyruvate carboxylase"
"b3957"	"argE"	"acetylornithine deacetylase"
"b3958"	"argC"	"N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding"
"b3959"	"argB"	"acetylglutamate kinase"
"b3960"	"argH"	"argininosuccinate lyase"
"b4458"	"oxyS"	"regulatory sRNA, global"
"b3961"	"oxyR"	"DNA-binding transcriptional dual regulator"
"b3962"	"sthA"	"pyridine nucleotide transhydrogenase, soluble, FAD/NAD(P)"
"b3963"	"fabR"	"DNA-binding transcriptional repressor"
"b3964"	"yijD"	"conserved inner membrane protein"
"b3965"	"trmA"	"tRNA (uracil-5-)-methyltransferase"
"b3966"	"btuB"	"vitamin B12/cobalamin outer membrane transporter"
"b3967"	"murI"	"glutamate racemase"
"b3968"	"rrsB"	"16S rRNA (rrnB)"
"b3969"	"gltT"	"tRNA-Glu(UUC) (Glutamate tRNA2)"
"b3970"	"rrlB"	"23S rRNA (rrlB)"
"b3971"	"rrfB"	"5S rRNA (rrfB)"
"b3972"	"murB"	"UDP-N-acetylenolpyruvoylglucosamine reductase, FAD-binding"
"b3973"	"birA"	"bifunctional biotin-[acetylCoA carboxylase] holoenzyme synthetase -!- DNA-binding transcriptional repressor, bio-5'-AMP-binding"
"b3974"	"coaA"	"pantothenate kinase"
"b3976"	"thrU"	"tRNA-Thr(UGU) (Threonine tRNA4)"
"b3977"	"tyrU"	"tRNA-Tyr(GUA) (Tyrosine tRNA2)"
"b3978"	"glyT"	"tRNA-Gly(UCC) (Glycine tRNA2)"
"b3979"	"thrT"	"tRNA-Thr(GGU) (Threonine tRNA3)"
"b3980"	"tufB"	"protein chain elongation factor EF-Tu (duplicate of tufA)"
"b3981"	"secE"	"preprotein translocase membrane subunit"
"b3982"	"nusG"	"transcription termination factor"
"b3983"	"rplK"	"50S ribosomal subunit protein L11"
"b3984"	"rplA"	"50S ribosomal subunit protein L1"
"b3985"	"rplJ"	"50S ribosomal subunit protein L10"
"b3986"	"rplL"	"50S ribosomal subunit protein L7/L12"
"b3987"	"rpoB"	"RNA polymerase, beta subunit"
"b3988"	"rpoC"	"RNA polymerase, beta prime subunit"
"b3989"	"yjaZ"	"predicted protein"
"b3990"	"thiH"	"thiamin biosynthesis ThiGH complex FeS subunit"
"b3991"	"thiG"	"thiamin biosynthesis ThiGH complex subunit"
"b4407"	"thiS"	"sulphur carrier protein"
"b3992"	"thiF"	"adenylyl transferase  and sulfur transfer to unite ThiF and ThiS"
"b3993"	"thiE"	"thiamin phosphate synthase (thiamin phosphate pyrophosphorylase)"
"b3994"	"thiC"	"thiamin (pyrimidine moiety) biosynthesis protein"
"b3995"	"rsd"	"stationary phase protein, binds sigma 70 RNA polymerase subunit"
"b3996"	"nudC"	"NADH pyrophosphatase"
"b3997"	"hemE"	"uroporphyrinogen decarboxylase"
"b3998"	"nfi"	"endonuclease V"
